revenue_rank,creator_id,creator_name,campaigns_observed,brands_observed,followers,avg_views,creator_power_score,mean_predicted_revenue,median_predicted_revenue,mean_actual_revenue,total_actual_revenue,mean_expected_orders,mean_expected_roi_pct,median_absolute_percentage_error
14,ungthaimenuochoa,ungthaimenuochoa,1,1,1900000.0,90328.7570093458,54.33006225250637,3476591219.0439506,3476591219.0439506,28954538404.57,28954538404.57,6416.0,2461.698792979753,87.99293164177942
15,dalba.vn,dalba.vn,1,1,180800.0,31438.86,48.717300546242996,3464318381.143578,3464318381.143578,5456523536.19,5456523536.19,18395.0,26725.47419027107,36.510520697533224
16,giadinhsena,giadinhsena,1,1,46100.0,6732.728395061728,43.729584533525696,3375284724.6234074,3375284724.6234074,4237098307.04,4237098307.04,1974.0,102403.22374127484,20.339711754732644
17,comemofficial,comemofficial,1,1,363000.0,29843.608108108107,49.70147670323748,3176365438.0924845,3176365438.0924845,6612494525.42,6612494525.42,10895.0,12150.445215783686,51.96418800980809
18,kimxuyenauthentic,kimxuyenauthentic,1,1,226300.0,16202.1393728223,47.831685986908425,2893768356.058746,2893768356.058746,4227582882.54,4227582882.54,22932.0,17802.234637570677,31.550286855165734
19,unileverchamsoccanhan,unileverchamsoccanhan,1,1,119700.0,22799.274647887323,47.47961598376396,2890238583.645092,2890238583.645092,1510903497.4,1510903497.4,14796.0,33703.96004263265,91.29207051401269
20,candidskincare,candidskincare,1,1,169700.0,132890.5593220339,51.301956694373494,2844306773.155047,2844306773.155047,9673011018.41,9673011018.41,20681.0,23365.111858674518,70.59543540535965
21,closeupvn,closeupvn,1,1,151600.0,52192.08571428571,49.38751512050853,2740505833.4221873,2740505833.4221873,257773518.34,257773518.34,14029.0,25208.101364057136,963.1448300315686
22,auroracastle2,auroracastle2,1,1,65700.0,14603.026315789471,45.720020406346485,2665792886.92326,2665792886.92326,2849687214.33,2849687214.33,12262.0,56705.327879643286,6.453140768643122
23,clearvietnam,clearvietnam,1,1,102000.0,829128.2375,53.92006320333752,2425278006.4625254,2425278006.4625254,1200635656.72,1200635656.72,14215.0,33188.129500466035,101.9994985896145
24,florasis.vn,florasis.vn,1,1,72300.0,51313.07913669065,48.2074812610454,2343260438.4526258,2343260438.4526258,3350485192.79,3350485192.79,802.0,45274.337674048074,30.062056579293305
25,colorkey_vn,colorkey_vn,2,2,546100.0,53000.960396039605,51.33110465978547,2238021283.4419374,2238021283.4419374,2609571501.525,5219143003.05,18307.5,5637.465293570248,8.829677151153279
26,hasaki.vn,hasaki.vn,1,1,871900.0,30619.493975903613,51.10838715439014,2174993638.280947,2174993638.280947,10320618792.67,10320618792.67,22221.0,3392.3627636120264,78.92574387278319
27,bonphuongsena,bonphuongsena,1,1,52400.0,6786.662921348315,43.94310894326153,2070633349.9811997,2070633349.9811997,7634327702.54,7634327702.54,1211.0,55222.26507583358,72.8773320892122
28,gillettevn_official,gillettevn_official,1,1,18300.0,68458.94017094017,46.613090155550594,1856737078.6693757,1856737078.6693757,930900774.5,930900774.5,5253.0,64885.79775342815,99.4559602409457
29,chuyengiaps,chuyengiaps,1,1,73600.0,171769.27586206896,50.48388545817121,1777991738.0742784,1777991738.0742784,119528360.15,119528360.15,9102.0,33720.49501771724,1387.506174972215
30,tungnguyentranmy2507,tungnguyentranmy2507,3,3,210900.0,44698.38461538462,49.61109675351857,1597121093.4974883,1096258554.1500132,2807221420.9500003,8421664262.85,2289.6666666666665,10502.036656692666,60.58124845670461
31,lixibox.official,lixibox.official,1,1,66200.0,18891.983606557376,46.21104218546371,1592328703.2779858,1592328703.2779858,4979130666.13,4979130666.13,12846.0,33574.62514485166,68.01994544731211
32,swatchesbybaobao,swatchesbybaobao,6,6,339200.0,42004.932335718935,50.23014101045642,1578504817.5525036,1192699493.0142026,1025119561.46,6150717368.76,8423.833333333334,6415.055261124719,40.414133649974886
33,langacday,langacday,1,1,29300.0,6897.768595041322,43.07169623580746,1560496670.8006089,1560496670.8006089,2748892392.39,2748892392.39,6960.0,54517.383478021315,43.23180219347004
34,mistine_bwg.vn,mistine_bwg.vn,2,2,108800.0,64615.45289855072,49.190787480270025,1549776960.0368009,1549776960.0368009,3773142368.45,7546284736.9,11212.0,19841.982941650007,56.14491456051664
35,carslan.vn,carslan.vn,1,1,495300.0,49011.71875,51.10680840563086,1532708287.7579362,1532708287.7579362,4125024661.33,4125024661.33,5618.0,4232.306890492854,62.8436575876432
36,dovederma.vietnam,dovederma.vietnam,1,1,45300.0,163693.9150943396,49.64148790978463,1438467560.6024714,1438467560.6024714,804347379.14,804347379.14,8431.0,44355.95110029713,78.83660690738698
37,unilevervn_beauty,unilevervn_beauty,1,1,186100.0,9583.08695652174,46.550986448648025,1427381507.9339437,1427381507.9339437,2554644142.67,2554644142.67,8366.0,10637.958684081252,44.12601410534979
38,kimtronsalan1994,kimtronsalan1994,1,1,1200000.0,168758.8923076923,54.780611733842655,1360828999.538434,1360828999.538434,26125742533.23,26125742533.23,2511.0,1487.6338327948397,94.79123321449119
39,phuongsena,phuongsena,4,4,160500.0,69278.22527472526,50.00152906094183,1357645961.421444,119140083.44092384,11994473811.432499,47977895245.729996,935.5,11742.394679065554,74.38536721691744
40,gogobuylife,gogobuylife,1,1,31700.0,1297.2958937198068,40.08495713537671,1247612170.9986122,1247612170.9986122,1994156605.56,1994156605.56,5565.0,43566.42598495142,37.436600138620655
41,linhlinhday88,linhlinhday88,1,1,5860.0,1711.904761904762,37.982565002329835,1243241557.8783522,1243241557.8783522,504231839.9,504231839.9,5545.0,43413.45452574232,146.56149403911377
42,lifebuoyvietnam,lifebuoyvietnam,1,1,151000.0,13274.77,46.83327889618312,1239118389.3845153,1239118389.3845153,1057615070.17,1057615070.17,6343.0,11388.514868465703,17.161567032638885
43,lanvat3110,lanvat3110,1,1,150000.0,10066.3908045977,46.308075258565204,1221047737.3299186,1221047737.3299186,6146102867.57,6146102867.57,1263.0,11296.445548412572,80.13297590945321
44,quyenleo,quyenleo,3,3,4700000.0,410302.77142857143,58.55175408763715,1178429826.28321,1178489062.9571168,8557234000.47,25671702001.41,3728.0,312.4504391991235,95.13542528514645
45,hoaigiang14,hoaigiang14,1,1,11400.0,2820.928125,39.94380249672796,1172153380.8148909,1172153380.8148909,701281090.8,701281090.8,5228.0,40925.36832852118,67.14458669885627
46,simplevietnam,simplevietnam,1,1,103100.0,34641.9012345679,48.02666637927495,1169623049.3393943,1169623049.3393943,714903369.78,714903369.78,6855.0,15782.369244181882,63.60575411741688
47,bingoxinchao203,bingoxinchao203,3,3,8165.0,5113.276315789473,40.53291791644452,1153894351.952965,296164631.9295399,1365294204.1833332,4095882612.5499997,5312.0,40286.30231835377,90.06834421902839
48,blancperfume,blancperfume,1,1,64600.0,10525.352112676055,45.084426141575676,1120117541.4664726,1120117541.4664726,1070681207.43,1070681207.43,10116.0,24174.993158716123,4.617278578666449
49,chanhbeauty93,chanhbeauty93,15,15,2300000.0,447554.5,57.605038886453485,1117660881.3973222,145213438.03701222,1148726548.1226666,17230898221.84,5465.4,580.3153191114135,65.30967619163313
50,focallure.eyeshadow.vn,focallure.eyeshadow.vn,1,1,35900.0,5172.701754385965,42.85119579992296,1095937756.763336,1095937756.763336,457740407.59,457740407.59,672.0,38257.821486716755,139.42342397374105
51,gillettevenusvn_official,gillettevenusvn_official,1,1,9234.0,95331.95238095238,46.168554129735526,1076609494.3125637,1076609494.3125637,491996211.85,491996211.85,3046.0,37581.33230093973,118.82475278911309
52,armafvietnam,armafvietnam,1,1,67600.0,5341.0615384615385,43.892394261630905,1050919138.0966207,1050919138.0966207,1162142547.13,1162142547.13,1176.0,21664.5975345454,9.570547890880869
53,lunys_official,lunys_official,1,1,246100.0,61364.243542435426,50.44031046631559,1023273541.633484,1023273541.633484,2530002213.33,2530002213.33,2041.0,5721.141642774797,59.55444085218223
54,aztkcosmetic,aztkcosmetic,1,1,62300.0,30123.576158940396,46.985238412582056,1017356361.8027664,1017356361.8027664,7355392233.49,7355392233.49,1249.0,22761.94071466891,86.16856410225658
55,huyenmonhugo,huyenmonhugo,1,1,16000.0,2240.2997987927565,40.04076315507418,1008619828.9467381,1008619828.9467381,751767649.31,751767649.31,4499.0,35201.694013135835,34.16643159259202
56,senabeauty,senabeauty,8,8,611300.0,72332.8125,52.15761188609627,999428245.5695238,79447797.83048895,7872780357.3325,62982242858.66,1024.125,2188.89177784612,52.809111154888896
57,vtkh2004,vtkh2004,1,1,7700000.0,118295.57142857143,57.002585560753836,992795466.3315638,992795466.3315638,382967670.3,382967670.3,4428.0,247.47841321604733,159.23740914052914
58,oralb_vietnam,oralb_vietnam,1,1,7137.0,301762.7794117647,47.91372742152512,969422524.8165915,969422524.8165915,357057748.82,357057748.82,2743.0,33829.7883685807,171.5030070122626
59,thamyeuskincare,thamyeuskincare,2,2,89800.0,5658.046674028842,43.70218685295377,928080887.8837559,928080887.8837559,757397363.0,1514794726.0,4337.0,14368.967071684392,20.66909208424904
60,giadinhlangac,giadinhlangac,1,1,12300.0,6840.448275862069,41.70994531670161,896703944.8735491,896703944.8735491,3257093426.56,3257093426.56,4000.0,31284.63807057422,72.46919791856851
61,cayrom02,cayrom02,1,1,17400.0,7480.105263157895,42.414284775659155,889805454.0626754,889805454.0626754,3311505195.1,3311505195.1,4090.0,31043.190892193634,73.12987896321856
62,headandshoulders_vn,headandshoulders_vn,1,1,54300.0,133075.88571428572,49.53713421921847,850709146.2040527,850709146.2040527,181404910.14,181404910.14,2407.0,21833.569147065813,368.9559646139205
63,nhuquynhne1412,nhuquynhne1412,1,1,12600.0,142481.09433962265,47.398514152291824,845198235.1318473,845198235.1318473,2221841534.5,2221841534.5,1686.0,29481.93822961465,61.95956273172967
64,nguyenduyduong1108,nguyenduyduong1108,1,1,96700.0,936.6506024096384,41.20909579712805,814697240.3708797,814697240.3708797,374634994.46,374634994.46,3634.0,11694.996241150273,117.46426586368067
65,jhopebeautytipss,jhopebeautytipss,4,4,11400.0,89400.96565656565,46.14309339410593,785520768.7909204,95088223.80743131,405352699.53,1621410798.12,3629.75,27393.226907682212,21.40803496222803
66,cafunevn,cafunevn,1,1,758000.0,4631.0,47.37592372263912,773554891.673716,773554891.673716,1783170308.35,1783170308.35,1296.0,1328.7293513762563,56.61912448567515
67,cafuneflux_official,cafuneflux_official,1,1,326500.0,14553.252525252525,48.20049644406305,771036418.2726908,771036418.2726908,694803897.05,694803897.05,1291.0,3206.1285928997463,10.971803921417115
68,tramytran69,tramytran69,7,7,94300.0,87118.07692307692,49.60471005499509,769636485.4416858,115727618.47636555,1863774208.4085715,13046419458.86,1840.0,11326.204449823543,13.924947664624895
69,olayduongtrang,olayduongtrang,1,1,30300.0,4839.539682539683,42.46427183788556,759201482.2475582,759201482.2475582,1001997545.55,1001997545.55,2148.0,26472.051878664537,24.2312033977259
70,1khovn,1khovn,1,1,20300.0,2052.119266055046,40.24671807320847,749798652.4492357,749798652.4492357,758916322.07,758916322.07,3344.0,26142.95283572325,1.2014064470105559
71,tuyetbachhoatienloi,tuyetbachhoatienloi,1,1,10500.0,1443.092105263158,38.56932553272514,736235251.9387115,736235251.9387115,641727510.41,641727510.41,3284.0,25668.2338178549,14.72708275640708
72,binbin_303,binbin_303,1,1,1387.0,6100.610169491525,38.11281940630427,735764876.0485386,735764876.0485386,607030621.52,607030621.52,3282.0,25651.77066169885,21.207209317742326
73,colorkey.forface_vn,colorkey.forface_vn,1,1,73200.0,16257.894736842103,46.087474437047184,729382816.4562894,729382816.4562894,2036357959.08,2036357959.08,5907.0,13849.944577032858,64.18199397586194
74,daoquangtrungdaily,daoquangtrungdaily,1,1,61500.0,109151.81981981982,49.361395458590955,697118889.5919721,697118889.5919721,1768684107.94,1768684107.94,1391.0,15769.373096402618,60.58544957449118
75,mqskin.tuyendoan,mqskin.tuyendoan,1,1,242000.0,44495.0,49.81596044665537,685078775.425252,685078775.425252,1939216739.95,1939216739.95,3303.0,3863.265642956003,64.67239781341225
76,cohocchamda,cohocchamda,11,11,868600.0,336417.18032786885,55.563365223505855,680246374.8307481,78182405.78740452,742945622.6736364,8172401849.410001,3067.818181818182,996.4136826652629,51.15976684878236
77,thuhuyennguyen99,thuhuyennguyen99,1,1,5502.0,987.6996527777778,36.86194068548251,649516314.6419749,649516314.6419749,879695484.7,879695484.7,2897.0,22633.07101246912,26.165778279119216
78,khahan.beauty,khahan.beauty,1,1,10100.0,128585.25773195876,46.86451586957295,633092159.6507849,633092159.6507849,1557737068.52,1557737068.52,1263.0,22058.22558777747,59.35821439671566
79,skincare303.cosmetic02,skincare303.cosmetic02,1,1,17000.0,3806.276729559748,41.1209943371032,623369123.1870061,623369123.1870061,360314708.23,360314708.23,2780.0,21717.919311545214,73.00684899854
80,flossievietnam,flossievietnam,1,1,57300.0,11409.388888888889,45.04853337037675,600030761.2487229,600030761.2487229,2683498176.54,2683498176.54,3812.0,14560.437447612772,77.6399787972884
81,gogobuyshop,gogobuyshop,1,1,12200.0,720.2090517241379,37.50976946333528,599210156.9220867,599210156.9220867,642257687.79,642257687.79,2673.0,20872.355492273033,6.702532594983677
82,gina.meteam,gina.meteam,8,8,12100.0,13118.490900383142,42.89600932772029,595698069.5592911,98211295.35477093,433011628.785,3464093030.28,2678.25,20749.432434575185,190.47837535343317
83,rocksweet52,rocksweet52,1,1,81600.0,7152.588235294118,44.72782433714552,588199643.0611452,588199643.0611452,6744342633.13,6744342633.13,3937.0,9991.660542715725,91.27862157874732
84,khapkhunkhabeauty,khapkhunkhabeauty,1,1,9843.0,108343.109375,46.50573062178364,549693174.6995786,549693174.6995786,347261905.7,347261905.7,1097.0,19139.261114485253,58.293543195163856
85,innoskinvietnam,innoskinvietnam,1,1,18400.0,1444.8045977011495,39.44156987066978,538647079.2874079,538647079.2874079,877027611.03,877027611.03,557.0,18752.647775059275,38.58265435283055
86,missduyen_05,missduyen_05,1,1,3006.0,52667.26277372263,43.32378153737192,525985174.47631013,525985174.47631013,714079687.33,714079687.33,1049.0,18309.481106670853,26.34082948879138
87,maikamereview,maikamereview,12,12,66000.0,5390.719462025316,43.861841493137646,501302463.18785256,61283886.24214041,167898992.19083333,2014787906.29,2351.0,10533.68861307566,22.55749615329013
88,dunghana2882,dunghana2882,17,17,115800.0,17175.349397590362,46.9010569731842,489356368.27794045,105306007.70133819,240999586.16411763,4096992964.79,2266.235294117647,5816.225523222078,55.616332054404836
89,mebeantin,mebeantin,1,1,2017.0,1932.3181818181815,36.554113521136635,481991606.99898994,481991606.99898994,413683097.36,413683097.36,2150.0,16769.706244964647,16.512279586696703
90,ngoctamaff,ngoctamaff,2,2,9481.0,1214.869322325622,38.0887687463715,479812227.9888295,479812227.9888295,706825517.815,1413651035.63,2110.0,16693.42797960903,35.85056194731338
91,nhinhi1807,nhinhi1807,1,1,7693.0,85486.14285714286,45.682499109501734,478209087.58758426,478209087.58758426,285770207.66,285770207.66,293.0,16637.31806556545,67.34042764756698
92,bb_niyeuoi,bb_niyeuoi,1,1,66200.0,51030.78306878307,48.06050015371155,467776202.4364617,467776202.4364617,1297243156.48,1297243156.48,933.0,9792.548087780155,63.94074618163742
93,vuphuongdaily.hnc,vuphuongdaily.hnc,3,3,29300.0,14479.260869565218,44.451716834237125,465181640.6011462,228315343.42823458,772345631.98,2317036895.94,2732.6666666666665,16181.357421040115,38.012155523384635
94,haianhxinhreview,haianhxinhreview,2,2,32900.0,55535.934854497355,46.72175235602843,464984216.4504923,464984216.4504923,1074141491.54,2148282983.08,3556.0,16174.447575767234,31.14243705883833
95,changmy_sayhi,changmy_sayhi,1,1,4068.0,1914.3223684210527,37.62444488036552,463902725.1601122,463902725.1601122,1090653664.26,1090653664.26,2069.0,16136.595380603927,57.46562448173073
96,lananhdaily22,lananhdaily22,9,9,194200.0,41922.75862068965,49.363822555487616,456147147.3671275,170854201.1939747,414369528.6788889,3729325758.11,2369.4444444444443,3188.3934413696106,69.22347853447836
97,hoanghongnickphu,hoanghongnickphu,2,2,176900.0,10432.193184475098,46.630152943604465,454040746.46089906,454040746.46089906,3104641100.8250003,6209282201.650001,659.5,3493.3128606289356,112.88266325543835
98,longchunchun,longchunchun,19,19,7400000.0,540804.25,59.76981228055236,445196993.4244498,221737630.4970725,656530595.8226315,12474081320.63,2079.4736842105262,55.818947698557416,51.091702051668406
99,blancperfumevn,blancperfumevn,1,1,102500.0,23291.95,47.27880035280764,444377818.19894654,444377818.19894654,431988151.1,431988151.1,4013.0,5969.550687595368,2.8680571602248537
100,giadinhconglinhday,giadinhconglinhday,1,1,2801.0,2472.2236842105262,37.521610096700776,439791226.4918133,439791226.4918133,1180106618.46,1180106618.46,1962.0,15292.692927213462,62.73292432969097
101,chamsuaofficial,chamsuaofficial,4,4,83000.0,7554.217948717949,44.84680510457329,439414025.6824641,128952542.16533586,439867654.745,1759470618.98,1923.25,7311.802842836744,63.787236065632115
102,shopnhaboon,shopnhaboon,1,1,5286.0,758.6758104738154,36.309392464135556,438902653.83388263,438902653.83388263,604630711.91,604630711.91,1958.0,15261.592884185893,27.409798214283594
103,lorealparismakeup_vn,lorealparismakeup_vn,1,1,31300.0,4309.375,42.29872460877079,436430484.28310895,436430484.28310895,834910983.73,834910983.73,1594.0,15175.06694990881,47.72730353440347
104,hvan_0524,hvan_0524,2,2,471200.0,19631.024727599703,49.326536219446695,432096681.8254916,432096681.8254916,849309326.385,1698618652.77,2541.5,1183.8186641674197,140.6098550594271
105,tranmyyy1993,tranmyyy1993,6,6,532600.0,57440.03846153846,51.51476897354963,417797993.6995799,72558785.32908355,1687605296.2383335,10125631777.43,1170.0,998.229799435621,63.21380870059042
106,huynhdangthong,huynhdangthong,4,4,1100000.0,59344.11071428572,52.67034959083135,416251374.2341821,518193838.79543453,960603768.76,3842415075.04,2144.75,429.77447629805,82.60151994674862
107,emxinhbeauty0808,emxinhbeauty0808,2,2,14800.0,1488.8564213564214,39.158635704417804,415193718.56067795,415193718.56067795,661385266.37,1322770532.74,1977.5,14431.780149623726,29.020514357962142
108,royal_kun_2004,royal_kun_2004,1,1,27500.0,359567.18333333335,50.331973538884355,411735154.0029771,411735154.0029771,1247429623.17,1247429623.17,690.0,14310.730390104194,66.99331598710432
109,lingg2809,lingg2809,2,2,8000000.0,830124.75,60.59769851070675,408463799.6120573,408463799.6120573,1212602112.495,2425204224.99,1845.5,42.962329864220045,72.92447823657186
110,dovevietnam,dovevietnam,2,2,123600.0,398624.6869292237,48.518537855966876,403071437.16238534,403071437.16238534,448155322.28999996,896310644.5799999,2205.0,4465.534077891097,137.56655258675852
111,vanbinhne_,vanbinhne_,8,8,29100.0,15362.725,44.55000789018051,398005173.48708487,84064618.7964788,492950336.14125,3943602689.13,1826.125,13830.18107204797,52.25291932975534
112,caothingocbich,caothingocbich,2,2,325800.0,24009.34447983015,49.120664389833394,393582126.6606045,393582126.6606045,504654442.885,1009308885.77,3376.5,1591.267579265949,18.77694837396144
113,maybelline.daily,maybelline.daily,1,1,19500.0,7880.551282051282,42.68806264341913,387510576.45732576,387510576.45732576,425781020.33,425781020.33,2444.0,13462.870176006401,8.988292583594465
114,anhvysay3,anhvysay3,2,2,270300.0,53015.57407407407,49.99719817706221,381149930.20242256,381149930.20242256,281300797.52500004,562601595.0500001,1733.0,1874.139483105407,136.00467695787825
115,tresemmevietnam,tresemmevietnam,1,1,71500.0,5623.430555555556,44.07526069703441,374209439.1778189,374209439.1778189,881852375.03,881852375.03,2193.0,7227.177830055194,57.565523462462906
116,halioofficialvn,halioofficialvn,1,1,22000.0,7554.9125,42.796619056738976,369326802.97884655,369326802.97884655,1607891098.56,1607891098.56,2979.0,12826.438104259629,77.0303596238819
117,duygiadung1202,duygiadung1202,1,1,3943.0,946.3971962616822,36.26586443796678,364370366.07094276,364370366.07094276,367201824.03,367201824.03,1625.0,12652.962812482998,0.771090385113633
118,trangtrankoc,trangtrankoc,18,18,594900.0,254087.39375,54.453875105593696,360498892.1246063,161305752.18456054,435651885.82500005,7841733944.85,2012.2777777777778,748.3752714312469,46.41815751287929
119,kat.i618,kat.i618,15,15,61700.0,122339.35483870968,49.57872316005517,359848052.2493669,165933743.26534623,299634373.01533335,4494515595.2300005,1900.4666666666667,8065.109775512376,18.856805862500316
120,mistine.bwg.vn,mistine.bwg.vn,2,2,7628.0,12716.287755102041,41.37829663355125,359801629.8243627,359801629.8243627,543237705.0649999,1086475410.1299999,2673.5,12493.057043852692,39.38750742516983
121,angelaphuongtrinh1995,angelaphuongtrinh1995,9,9,848600.0,280616.6,55.18967148465066,357432531.7449208,113576964.88080621,280113302.3833333,2521019721.45,1564.5555555555557,489.6836488839135,33.02844810208793
122,nhuydaily.lotus,nhuydaily.lotus,1,1,34400.0,2596.614457831325,41.502597541848736,357052092.4289501,357052092.4289501,931976326.98,931976326.98,1010.0,12396.823235013251,61.688716537902756
123,changaffiliate,changaffiliate,4,4,36900.0,55764.604166666664,46.43024290900368,353517874.2187008,366322886.2951268,439976612.47999996,1759906449.9199998,2910.5,12273.125597654529,30.979239369919334
124,hainamplsc209,hainamplsc209,4,4,942000.0,2242.94523326572,46.362556646231,353423487.5492025,45895977.80991711,883680692.4675,3534722769.87,1561.0,425.2578371219569,35.62788138862695
125,hinhy_review,hinhy_review,9,9,137600.0,32326.574074074073,48.34562832113246,351351224.8568785,112846551.39835157,1181445249.66,10633007246.94,870.3333333333334,3474.7944389507984,56.56948163138898
126,ngoc.matcha,ngoc.matcha,11,11,4200000.0,174707.5,56.788188651221404,350527472.49786514,239173510.0764558,301884113.41818184,3320725247.6,1943.4545454545455,22.684615374252804,70.85857736599637
127,vaselinevietnam,vaselinevietnam,1,1,62100.0,7381.305084745763,44.36284138798673,346237283.7302205,346237283.7302205,1331320049.75,1331320049.75,2029.0,7705.671452855212,73.9929340209938
128,hanhbao_01,hanhbao_01,1,1,64500.0,16604.66165413534,45.93050169634951,342301889.40118325,342301889.40118325,201677455.45,201677455.45,683.0,7329.808452118705,69.7273939902752
129,embexiu8386,embexiu8386,5,5,6321.0,34682.096774193546,43.698794792929924,335901419.1868062,292124674.0372001,424105724.934,2120528624.67,1851.2,11656.549671538218,50.96186075207354
130,closeupwhitenow,closeupwhitenow,1,1,5589.0,11238.369696969698,41.41060274714716,335342238.3904691,335342238.3904691,211503399.8,211503399.8,1717.0,11636.978343666417,58.55170115826623
131,trang.bong7997,trang.bong7997,16,16,148800.0,87019.45945945945,50.31006462156655,333451307.5555141,280311588.8662853,371312676.01625,5941002816.26,1809.6875,3037.3106893663958,50.60568881088531
132,hannaholala,hannaholala,12,12,1800000.0,218096.05263157896,55.88685389411712,332852680.6318698,258158761.97763297,1049848705.9549999,12598184471.46,2018.9166666666667,158.88541826923205,61.051492131741924
133,maitrum.review,maitrum.review,1,1,306500.0,4691.911764705882,45.99581917002603,331381422.7892187,331381422.7892187,377074509.49,377074509.49,1215.0,1413.6508708153547,12.117787214675953
134,tunpham97,tunpham97,26,26,4600000.0,1483592.5714285714,60.91072298877154,330823589.5421453,136528517.93648723,981138612.3738462,25509603921.72,1646.9615384615386,15.788256339750834,77.51584772043404
135,mayananh_02,mayananh_02,7,7,216000.0,25574.809523809523,48.608991532703186,329081266.3956006,60977515.32688978,313929973.36428565,2197509813.5499997,1681.4285714285713,2032.9341340455594,126.82910292093044
136,coduocsi12,coduocsi12,1,1,18200.0,471.17758186397987,37.34174395161268,326609914.29331654,326609914.29331654,582799862.65,582799862.65,1457.0,11331.347000266078,43.958477819775695
137,nth8183,nth8183,2,2,3304.0,1149.1115175831956,36.294443074878934,314986637.8170487,314986637.8170487,323454413.41,646908826.82,1408.5,10924.532323596704,14.462359816732455
138,chucareviewkhongbooking,chucareviewkhongbooking,3,3,951000.0,61543.509803921566,52.54240981370325,313325930.5880057,91357439.90653709,416589838.89000005,1249769516.67,2654.0,361.2579419802396,27.763305349604877
139,duyen.my.tran,duyen.my.tran,7,7,11500.0,7687.5,41.822900565831176,311895411.23815864,53072175.224033564,399359570.2771429,2795516991.94,1509.142857142857,10816.339393335553,65.84787515898171
140,lee.meteam,lee.meteam,1,1,10300.0,15726.5,42.98406296544765,311869961.1494823,311869961.1494823,655054649.38,655054649.38,1391.0,10815.448640231882,52.39023775426023
141,clearderma.vn,clearderma.vn,1,1,21300.0,20634.780487804877,44.6164702835265,311391403.2125722,311391403.2125722,154277439.55,154277439.55,1825.0,10798.699112440028,101.8385864588146
142,minh.quang8750,minh.quang8750,1,1,6236.0,15349.79104477612,42.16071167191777,307631819.4944722,307631819.4944722,581097817.19,581097817.19,189.0,10667.113682306526,47.060234887461874
143,thecafune_daugoi,thecafune_daugoi,1,1,106900.0,2455.355140186916,43.15713488171748,306890489.3716238,306890489.3716238,189597120.36,189597120.36,514.0,3919.145791583473,61.86453084778476
144,megacreview,megacreview,3,3,5166.0,5872.5,40.08064801721857,305016602.7579686,127332882.29249956,384400529.99,1153201589.97,1442.3333333333333,10575.581096528898,30.877891834356475
